,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1.0,2,KRAKARIB,Simon Zahra,Damien Thornton,,1,58kg,,$26
1,,2.0,6,LITTLE BROSE,Ben & JD Hayes,Damien Oliver,0.75L,5,58kg,,$9
2,,3.0,9,AWESTRUCK,Mick Price & Michael Kent (Jnr),Mark Zahra,1.5L,4,56kg,,$6
3,,4.0,5,HELLISH,Danny O'Brien,Damian Lane,2L,6,58kg,,$7
4,,5.0,1,ZULFIQAR,James Cummings,William Buick,3L,3,58kg,,$4F
5,,6.0,3,DIABELLI,James Cummings,Hugh Bowman,3.75L,7,58kg,,$6.50
6,,7.0,10,BAD GIRL BUBBLES,John McArdle,Jamie Mott,4.5L,9,56kg,,$16
7,,8.0,4,EXPOSITION,Chris Waller,James McDonald,5.25L,8,58kg,,$7
8,,9.0,8,AMELIE,Tony & Calvin McEvoy,Kerrin McEvoy,7.75L,2,56kg,,$10
9,,,7,PARADE GROUND,James Cummings,Blake Shinn,,0,,,
