,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1.0,9,HIGH APPROACH,Archie Alexander,Ben Melham,,7,57kg,,$20
1,,2.0,5,LINDERMANN,Chris Waller,Damian Lane,0.2L,3,57kg,,$17
2,,3.0,4,DREAM HOUR,Robbie Griffiths & Mathew de Kock,Damien Oliver,1.45L,6,57kg,,$17
3,,4.0,3,DASHING,Aaron Purcell,Ms Linda Meech,1.95L,8,57kg,,$5
4,,5.0,8,TOKENIST (NZ),Matt Laurie,Ethan Brown,2.45L,10,57kg,,$15
5,,6.0,11,SUGOI LEGEND,Richard & Will Freedman,Kerrin McEvoy,3.2L,2,57kg,,$26
6,,7.0,7,COOL KAAP,Chris Waller,James McDonald,3.6L,9,57kg,,$7.50
7,,8.0,1,ZOE’S PROMISE,Daryl Cannon,Ms Alana Kelly (a),4.35L,5,57kg,,$8.50
8,,9.0,10,SERANGOON,Trent Busuttin & Natalie Young,Blake Shinn,7.1L,1,57kg,,$51
9,,10.0,12,QUANG TRI,Patrick Payne,Michael Dee,13.1L,11,56kg,,$2.50F
10,,11.0,13,BORN HUSTLER,Jason Warren,Craig Williams,19.1L,4,55kg,,$31
11,,,14,ZEST FOR LIFE,Mick Price & Michael Kent (Jnr),Daniel Moor,,0,,,
12,,,6,PERFECT THOUGHT,John Sargent,Ms Jamie Kah,,0,,,
13,,,2,PERICLES,James Cummings,William Buick,,0,,,
