,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1.0,5,BARTHOLOMEU DIAS (GB),Annabel Neasham,Tommy Berry,,11,55kg,,$31
1,,2.0,1,JUST FOLK,Josh Julius,Hugh Bowman,0.5L,12,60kg,,$6EF
2,,3.0,13,LORD VLADIVOSTOK (NZ),Michael Hickmott,Damian Lane,0.9L,4,54kg,,$9
3,,4.0,15,DYNASTIES,Peter & Paul Snowden,Craig Williams,1.4L,5,54kg,,$9.50
4,,5.0,14,WHITE NOISE (NZ),Andrew Forsman,Dean Holland,2.9L,6,54kg,,$8.50
5,,6.0,8,BERMADEZ (NZ),Michael Moroney,Damien Oliver,3.1L,8,54kg (cd 54.5kg),,$6EF
6,,7.0,10,FUTURE SCORE (IRE),Matt Cumani,Fred Kersley,3.3L,10,54kg,,$101
7,,8.0,6,CHARACTER,James Cummings,Ms Jamie Kah,3.4L,9,55kg,,$8
8,,9.0,7,REGAL LION (NZ),Annabel Neasham,Blaike McDougall,3.5L,3,55kg,,$20
9,,10.0,9,SIR DAVY,Ciaron Maher & David Eustace,Ethan Brown,5.5L,13,54kg,,$7
10,,11.0,11,ESTI FENY (HUN),Matthew Smith,Craig Newitt,5.7L,2,54kg,,$26
11,,12.0,16,SHARPER,Michael Templeton,Beau Mertens,8.45L,7,54kg,,$31
12,,13.0,4,NONAME LANE,Will Clarken,Ms Linda Meech,11.95L,1,55.5kg,,$9.50
13,,,12,HOLBIEN,Steve Richards,Liam Riordan,,0,,,
14,,,2,BUCKHURST (IRE),Robert Hickmott,John Allen,,0,,,
15,,,3,PONDUS (GB),Michelle Payne,Ms Michelle Payne,,0,,,
