,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1.0,7,RENOSU,James Cummings,Blake Shinn,,14,57kg,,$31
1,,2.0,17,KIN,James Cummings,Ms Jamie Kah,1.75L,4,55kg,,$5.50EF
2,,3.0,6,BOLDINHO,Ciaron Maher & David Eustace,Ethan Brown,2.5L,13,57kg,,$9.50
3,,4.0,1,CROSSWINDS,Anthony & Sam Freedman,Mark Zahra,2.7L,15,58kg,,$16
4,,5.0,13,HALLSTATT,Gordon Richards & Damien Moyle,Damien Oliver,2.8L,11,57kg,,$31
5,,6.0,3,LASCARS,James Cummings,William Buick,3.55L,2,57.5kg,,$18
6,,7.0,5,ALPHA FLIGHT,Richard & Chantelle Jolly,Damian Lane,3.75L,7,57kg,,$7.50
7,,8.0,19,SHE DARESTHE DEVIL,Ray Besanko,Teo Nugent,3.95L,10,55kg,,$61
8,,9.0,12,KATSU,Grahame Begg,Jordan Childs,5.2L,5,57kg,,$13
9,,10.0,8,PORT ALBERT,Nick Ryan,Fred Kersley,5.5L,9,57kg,,$21
10,,11.0,15,SELOUS,James Cummings,James McDonald,6L,16,57kg,,$5.50EF
11,,12.0,14,PYROIS,"Michael, Wayne & John Hawkes",Hugh Bowman,6.5L,8,57kg,,$18
12,,13.0,4,FISSION,Robbie Griffiths & Mathew de Kock,Patrick Moloney,7.25L,3,57.5kg,,$18
13,,14.0,16,XTRAVAGANT STAR,Tony & Calvin McEvoy,Kerrin McEvoy,7.35L,12,56kg,,$18
14,,15.0,2,SHALAMAN,Matt Laurie,Ben Melham,12.35L,6,57.5kg,,$18
15,,16.0,9,ZOU SENSATION,Leon & Troy Corstens,Tommy Berry,13.1L,1,57kg,,$26
16,,,10,EPIC CENTRE,Clayton Douglas,Daniel Moor,,0,,,
17,,,18,YOWIE,John Sadler,Luke Nolen,,0,,,
18,,,11,FIELD OF FLUTES,Ciaron Maher & David Eustace,John Allen,,0,,,
