,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1,1,GOLD TRIP (FR),Ciaron Maher & David Eustace,Mark Zahra,,13,57.5kg,,$21
1,,2,17,EMISSARY (GB),Michael Moroney,Patrick Moloney,2L,3,51.5kg,0.5kg,$26
2,,3,22,HIGH EMOCEAN (NZ),Ciaron Maher & David Eustace,Teo Nugent,3.25L,8,50kg,,$41
3,,4,8,DEAUVILLE LEGEND (IRE),James Ferguson,Kerrin McEvoy,5L,9,55kg,,$4.40F
4,,5,24,REALM OF FLOWERS,Anthony & Sam Freedman,Damien Thornton,6L,5,50kg,,$8
5,,6,14,DAQIANSWEET JUNIOR (NZ),Phillip Stokes,Daniel Moor,7.25L,12,53kg,,$61
6,,7,19,SMOKIN’ ROMANS (NZ),Ciaron Maher & David Eustace,Ms Jamie Kah,7.65L,15,51.5kg,1.5kg,$17
7,,8,9,STOCKMAN (NZ),Joseph Pride,Sam Clipperton,7.85L,2,54kg,,$16
8,,9,3,KNIGHTS ORDER (IRE),Gai Waterhouse & Adrian Bott,Tim Clark,8.6L,22,55.5kg,,$18
9,,10,10,VOW AND DECLARE,Danny O'Brien,Blake Shinn,8.7L,4,54kg (cd 54.5kg),,$21
10,,11,16,ARAPAHO (FR),Bjorn Baker,Ms Rachel King,10.95L,18,52.5kg,,$61
11,,12,12,HOO YA MAL (GB),Gai Waterhouse & Adrian Bott,Craig Williams,20.95L,14,53.5kg,,$13
12,,13,6,WITHOUT A FIGHT (IRE),Simon & Ed Crisford,William Buick,21.15L,17,55.5kg,,$12
13,,14,15,GRAND PROMENADE (GB),Ciaron Maher & David Eustace,Harry Coffey,21.35L,1,53kg,,$71
14,,15,11,YOUNG WERTHER (NZ),Danny O'Brien,Damian Lane,22.85L,19,54kg,,$31
15,,16,4,MONTEFILIA,David Payne,Jason Collett,23.05L,11,55.5kg,,$9.50
16,,17,20,TRALEE ROSE (NZ),Symon Wilde,Dean Yendall,30.05L,20,51.5kg,,$51
17,,18,2,DUAIS,Edward Cummings,Hugh Bowman,38.05L,10,55.5kg,,$21
18,,19,5,NUMERIAN (IRE),Annabel Neasham,Tommy Berry,73.05L,7,55.5kg,,$61
19,,20,13,SERPENTINE (IRE),Robert Hickmott,John Allen,99L,21,53.5kg,,$31
20,,21,7,CAMORRA (IRE),Ben & JD Hayes,Ben Melham,99L,16,55kg,,$41
21,,FF,23,INTERPRETATION (IRE),Ciaron Maher & David Eustace,Craig Newitt,,6,50kg,,$51
22,,,18,LUNAR FLARE,Grahame Begg,Michael Dee,,0,,,
23,,,21,POINT NEPEAN (IRE),Robert Hickmott,Wayne Lordan,,0,,,
